Habitat, House, Herbivore, Tank,
Biologist, Geologist, Engineer, Paleontologist,
A hamburger, A magazine, A newspaper, A soda can,
An apple core, A soda can, Plastic milk container, A pizza box,
take in water and nutrients, take in sunlight for the plant, make food for the plant, none of the above,
5, 3, 4, 2,
Dead seeds fall off plants and start the cycle again, Insects and birds transfer seeds, The soil creates bacteria that grows plants, People plant seeds,
fly, jump, swim, walk,
Stove, Sun, Flame, Freeezer,
Arms and hands, Hair and head, Legs and foot, None,
Legs and feet, Stomach, Mouth and teeth, None,
a mammal, a reptile, a bird, None,
an invertebrate, a vertebrate, an arthropod, None,
bones, muscles, hair, blood,
a reptile, an amphibian, a mammal, None,
Sun, Moon, Earth, Orion,
friction, speed, gravity, cold,
go a longer distance, go a shorter distance, stay the same, not move,
liquid, gas, solid, none,
water, grass, gas, sun,
push, pull, gas, not moving,
constellation, rock, moon, sun,
seed, seedling, sprout, flower,
walk on land, reproduce, lay eggs, grow from an egg,
New moon, Cresent moon, Full moon, Half moon,
rock, cheese, gas, salt,
Shadow, Phase, Moon, Suntan,
The sun is too bright and too close, My eyes are closed, The stars are too small, I need sunglasses,
The tilt of the earth, The weather changes, Its hot and cold, We have different clothing,
all of the above, water, wind, animals,
13, 15, 17, 12,
11, 12, 13, 10,
4, 5, 0, 7,
11, 12, 13, 14,
3, 2, 7, 5,
4, 10, 5, 3,
1, 0, 2, 3,
0, 6, 3, 12,
1, 2, 0, 17,
18, 8, 14, 6,
7, 11, 8, 6,
20, 15, 17, 19,
25, 20, 18, 5,
7, 8, 6, 30,
17, 25, 20, 22,
30, 3, 20, 21,
30, 13, 23, 25,
6, 7, 10, 2,
100, 20, 10, 0,
12, 10, 8, 365,
4, 3, 5, 30,
21, 11, 32, 30,
18, 20, 21, 23,
3, 13, 32, 2,
60, 40, 23, 66,
620, 123, 32, 12,
0, 5, 25, 12,
63, 213, 12, 54,
10, 18, 0, 2,
3, 2, 19, 11,
Susan B. Anthony, Laura Ingalls Wilder, Mary McLeod Bethune, Eleanor Roosevelt,
Ruby Bridges, Susan B. Anthony, Rosa Parks, Mary McLeod Bethune,
Cesar Chavez, Martin Luther Ling Jr., Jackie Robinson, None,
segregation, equality, protest, boycott,
boycott, riot, protest, leader,
Jackie Robinson, Babe Ruth, Cesar Chavez, Barry Bonds,
Mary McLeod Bethune, Rosa Parks, Eleanor Roosevelt, Susan B. Anthony,
Martin Luther King Jr., Rosa Parks, Cesar Chavez, Jackie Robinson,
Rosa Parks, Susan B. Anthony, Eleanor Roosevelt, Ruby Bridges,
Riot, Protest, Boycott, Segregation,
Equality, Segregation, Protest, Resistance,
Topeka, Wamego, Kansas City, Emporia,
joined together, scattered around, crowded in a room, None,
what has happened in the past, what will happen in the future, what will never happen at all, None,
at last, in the beginning, once in a while, None,
things you must or must not do, things that you do for fun, things that are suggested, None,
to make or put together, to fold or bend, to take apart or break, None,
Eleanor Roosevelt, Susan B. Anthony, Helen Keller, Rosa Parks,
Martin Luther King Jr., Thurgood Marshall, Eleanor Roosevelt, Susan B. Anthony,
Cesar Chavez, Powhatan, Jackie Robinson, Martin Luther King Jr.,
Pocahontas, Powhatan, Helen Keller, Susan B. Anthony,
Rosa Parks, Helen Keller, Jackie Robinson, Eleanor Roosevelt,
diversity, traditions, customs, freedom,
having a big dinner for family and friends on Thanksgiving Day, doing your homework, riding a bike, eating foods from other cultures,
immigrant, a Native Americanan, diverse, None,
to meet the President, for religion, to escape wars, for freedome,
to find jobs so they could have their needs met, freedom to eat what they wanted, the weather was better, None,
What is your favorite color?, Where are you going to live?, How will you make a living?, Is anyone in your family sick?,
all of the answers are true, finding a job, being treated fairly, supporting their families,
a museuman, an amusement park, art gallery, None,
bumpy, rusting, burning, None,
7, 8, 6, 12,
Two, One, Three, Four,
solid, liquid, gas, None,
1, 2, 3, 9,
Martin Luther King Jr., Malcolm X, W.E.B. Du Bois, Sojourner Truth,
Winter, Summer, Fall, Spring,
18, 9, 14, 24,
Amelia Earhart, Bessie Coleman, Jacqueline Cochran, Harriet Quimby,
Predator, Herbivore, Prey, Big ol meanie,
9, 12, 13, 20,
France, Mexico, England, Portugal,
To protect your ear, Prevent sound from getting in, To gross people out, To make candles,
4 tens, 4hundreds, 4 ones, I don't know,
Harriet Tubman, Rosa Parks, Angela Davis, Maya Angelou,
defend themselves, get rid of wastes, attract prey, help nearby plants grow,
4085, 4805, 4850, 4058,
Tea, Coffee, Fruit, Nuts,
Shape, Mass, Weight, Smell,
54, 56, 58, 53,
John Adams, Benjamin Franklin, Alexander Hamilton, James Madison,
It has nutrients used by plants to grow, It covers the bedrock layer in the earth, It holds many harmful pollutants, It dries quickly in sunlight,
1032, 1023, 1022, 1132,
Susan B. Anthony, Jackie Kennedy, Eleanor Roosevelt, Gloria Steinem,
An acorn growing into an adult tree, One moon-phase cycle, One ocean-tide cycle, A caterpillar becoming a butterfly,
108, 96, 226, 24,
16th, 3rd, 11th, 20th,
Take care of forests, Ride bikes more, Make more farmland, Move to the city,
4, 6, 2, 3,
Four, One, Three, Six
